IYEAR,COMM,LOSS,LATITUDE,LONGITUDE
2003,CRUDE OIL,40.0,35.9383,-96.7462
2003,CRUDE OIL,125.0,47° 47' 50,-95° 43' 10
2003,CRUDE OIL,2.0,39 48.069,104 56.914
2003,CRUDE OIL,200.0,N32.00.385,W102.02.277
2003,CRUDE OIL,4.0,N29.58.60,W91.44.68
2003,CRUDE OIL,10.0,34.1605711,-97.535948
2003,CRUDE OIL,15.0,35.94674,-96.76288
2003,CRUDE OIL,700.0,"41* 30' 56""","-87* 26' 55"""
2003,CRUDE OIL,20.0,32 03'22,101 18'18
2003,CRUDE OIL,100.0,27 24.3'N,98 5.8
2003,CRUDE OIL,10.0,47° 19' 30,-93° 45' 45
2003,CRUDE OIL,100.0,"47° 41' 20""","-95° 24' 44"""
2003,CRUDE OIL,12.0,44.0904327,-70.3641734
2003,PETROLEUM CRUDE OIL,21.0,37 48 19N,098 54 43W
2003,PETROLEUM CRUDE OIL,3.0,N30.145722,W94.401536
2002,CRUDE OIL,2.0,29.7090,-94.98021
2003,CRUDE OIL,5.0,44 49 MN 41 SEC,-92 58 MIN 30.17 SEC
2003,CRUDE OIL,2.0,"43° 56' 59""","-89° 41' 04"""
2003,CRUDE OIL,7.0,N35.03.45,W119.03.53
2003,CRUDE OIL,15.0,36.01487,-96.445388
2003,CRUDE OIL,5.0,31 08' 59.9N,102 10' 32.7W
2003,CRUDE OIL,15.0,N 29 27.33,96 05.55
2003,CRUDE OIL,1.0,44.53757,-71.70417
2003,CRUDE OIL,2.0,"46° 19' 30""","-92° 03' 38"""
2003,CRUDE OIL,1.0,"47° 19' 30""","-93° 45' 45"""
2003,CRUDE OIL,3.0,N33 48.479',W118 14.065'
2003,CRUDE OIL,100.0,35 30.216 MIN N,98 33.26 MIN W
2003,CRUDE OIL,10.0,35 28.363 MIN N,98 44.160 MIN W
2003,CRUDE OIL,21.0,33 48.612 MIN N,99 29.472 MIN W
2003,PETROLEUM CRUDE OIL,2.0,37 02 43N,101 51 17W
2003,CRUDE OIL,1.0,44.816 N,108.499 W
2003,CRUDE OIL,25.0,N 31 09.252',W 90 47.580'
2003,CRUDE OIL,3.0,N29 02' 43,W96 31' 40
2003,CRUDE OIL,10.0,29.59.36,94.4.38
2003,CRUDE OIL,6.0,29.31.16,95.06.19
2003,CRUDE OIL,4.0,N32.16.53,W101.11.17
2003,CRUDE OIL,250.0,40 N 56.8',88 W 39'
2003,CRUDE OIL,60.0,40.70813333N,84.12220000W
2003,CRUDE OIL,5.0,29.70973,-94.98043
2003,CRUDE OIL,300.0,32 32'59.038 N,103 32'46.195 W
2003,CRUDE OIL,1.0,30.32.00,91.44.57
2003,CRUDE OIL,50.0,34 29.042 MIN N,97 32.902 MIN W
2003,CRUDE OIL,31.0,41 N 24.6',87 W 59.4'
2003,CRUDE OIL,4.0,"97-3' 45.52""W","31-16'19.23""N"
2003,CRUDE OIL,20.0,N31 27.318,W100 52.352
2003,CRUDE OIL,5.0,N35 94 068,W96 74' 897
2003,CRUDE OIL,120.0,45.1534,104.7141
2003,PETROLEUM CRUDE OIL,100.0,37.55.680,98 46.428
2003,CRUDE OIL,4.0,30 46' 46 N,88 08' 26
2003,CRUDE OIL,15.0,N 31 09.252',W 90 47.580'
2003,CRUDE OIL,10.0,N 31 02.065',W 89 26.884'
2003,PETROLEUM CRUDE OIL,2.0,33 32.895,96 34.812
2003,CRUDE OIL SLOP,500.0,29.59.36,94.4.38
2003,CRUDE OIL,2.0,35.41 5.7 N,101 21 36.9 W
2003,CRUDE OIL,13.0,34.37612,118.79089
2003,CRUDE OIL,126.0,N32 00' 031,W102 26' 322
2003,CRUDE OIL,5.0,43.46.931,W108.34.900
2003,CRUDE OIL,5.0,N31 48.298',W102 23.604'
2003,CRUDE OIL,4.0,N31 53.060',W102 12.923'
2003,CRUDE OIL,8.0,"32 51' 54.37""N","91 5' 15.26""W"
2003,CRUDE OIL,15.0,N31 55.866',W103 02.854'
2003,CRUDE OIL,3120.0,N35 41.283',W97 30.348'
2003,CRUDE OIL,1.0,28 40 50,-89 23 16
2003,PETROLEUM CRUDE OIL,65.0,37 42.34,101 02.49
2003,CRUDE OIL,500.0,"43* 37' 42""","-83* 59' 14"""
2003,CRUDE OIL,70.0,44 9' 38.4,107 56' 7.8
2003,CRUDE OIL,200.0,32 13.446'N,99 41.433'W
2003,CRUDE OIL,800.0,N33.76456,W118.22765
2003,CRUDE OIL,15.0,-90.2623,33.6980
2002,CRUDE OIL,25.0,44.5382,-71.708
2003,CRUDE OIL,1.0,30.032,-90.840
2003,CRUDE OIL,5.0,33 33 86 N,97 52 23 W
2003,PETROLEUM CRUDE OIL,320.0,38 17376,98 26345
2003,CRUDE OIL,2.0,N31.53.753,W102.27.677
2003,CRUDE OIL,21.0,N29 30.142,W95 13.463
2003,CRUDE OIL,25.0,N 33 25.598,W 102 31.037
2003,CRUDE OIL,10.0,N 33 48.479,W118 14.065
2003,CRUDE OIL,20.0,"46° 41' 36""","-92° 03' 10"""
2003,PETROLEUM CRUDE OIL,2.0,37 42 38,101 02 51
2003,PETROLEUM CRUDE OIL,20.0,38 03 48N,97 89 55W
2003,CRUDE OIL,40.0,35.94674,-96.76288
2003,CRUDE OIL,750.0,121.53993,37.74494
2003,CRUDE OIL,356.0,"N29 19' 36""","W89 58' 30"""
2003,CRUDE OIL,30.0,41 N 24.6,87 W 59.4
2003,CRUDE OIL,47.0,"47* 41' 20""","-95* 24' 44"""
2003,PETROLEUM CRUDE OIL,3.0,37 42' 13N,101 01' 49W
2003,CRUDE OIL,20.0,N 42 51.165',W 106 21.407'
2003,CRUDE OIL,5.0,N 33 25.598,W 102 31.037
2003,CRUDE OIL,10.0,N 33 25.598,W 102 31.037
2003,PETROLEUM CRUDE OIL,15.0,37 42' 38N,101 02' 49W
2003,PETROLEUM CRUDE OIL,10.0,38 20' 18N,97 40' 36W
2003,CRUDE OIL,15.0,46° 09' 10,-91° 43' 00
2003,CRUDE OIL,20.0,32.41.165,102.38.578
2003,PETROLEUM CRUDE OIL,1.0,37 40' 56N,101 01' 35W
2004,CRUDE OIL,50.0,N 33 25.598,W 102 31.037
2003,CRUDE OIL,60.0,34 29.042 MIN N,97 32.902 MIN W
2004,CRUDE OIL TANK BOTTOMS,6.0,29.59.36,94.4.38
2004,CRUDE OIL,211.0,N36 10.600,W108 20.509
2004,PETROLEUM CRUDE OIL,10.0,38 20 25N,98 18 -41 W
2004,CRUDE OIL,10.0,38.618 N,94.498 W
2004,CRUDE OIL,4.0,N 40.37.11',91 W 7.8'
2004,CRUDE OIL,1.0,N29 20.5,W89 39.62
2004,CRUDE OIL,3.0,N35 1330.1,W 119 3335.2
2004,CRUDE OIL,75.0,29.92.069,94.02053
2004,CRUDE OIL,1.0,29  24.279,95  59.606
2004,CRUDE OIL,21.0,29 42.626,95 13.791
2004,CRUDE OIL,2.0,34 29.042,97 32.902
2004,PETROLEUM CRUDE OIL,10.0,30 46.09 N,99 38 02 W
2004,CRUDE OIL,1003.0,47° 15' 10,-93° 33' 04
2004,CRUDE OIL,2.0,32.07382N,101.42879W
2004,CRUDE OIL,3.0,35 28.78,97 25.86
2004,CRUDE OIL,30.0,32.07382N,103.4909W
2004,CRUDE OIL,30.0,N29 55'50,W97 03'18
2004,CRUDE OIL,3.0,"46° 41' 30""","-92° 03' 35"""
2004,CRUDE OIL,900.0,34.6581,-100.4463
2004,CRUDE OIL,6.0,29.990,94.004
2004,CRUDE OIL,3.0,43 40.31' N,107 53.29' W
2004,CRUDE OIL,9.0,"41° 38' 7""","-88° 2' 48"""
2004,CRUDE OIL,11.0,30-01'-34'N,093-56'55
2004,CRUDE OIL,350.0,32 42'59.1,100 39'00.4
2004,PETROLEUM CRUDE OIL,20.0,38 14 18N,98 00 45W
2004,CRUDE OIL,2.0,"46° 41' 12""","-92° 03' 12"""
2004,CRUDE OIL,1.0,"46° 41' 30""","-92° 03' 35"""
2004,CRUDE OIL,35.0,41.1920 N,102.5234 W
2004,CRUDE OIL,3.0,29.90694,94.01189
2004,CRUDE OIL,1.0,"N33 0' 28""","W104 58' 34"""
2004,CRUDE OIL,1.0,30.032,-90.840
2004,CRUDE OIL,2.0,46° 41' 30,-92° 03' 35
2004,CRUDE OIL,21.0,"46° 41' 30""","-92° 03' 35"""
2004,CRUDE OIL,1.0,29' 02.33,89' 19.71
2004,CRUDE OIL,22.0,"35° 57' 08""","-96° 45' 11"""
2004,CRUDE OIL,250.0,41.41333333,87.99222222
2004,SWEET CRUDE OIL,130.0,42 13.55' N,-104 41.61'W
2004,CRUDE OIL,40.0,"46° 41' 20""","-92° 03' 38"""
2004,CRUDE OIL,45.0,N 32 34.760,W 094 14.900
2004,CRUDE OIL,15.0,N32 00.734',N102 00.572'
2004,CRUDE OIL,15.0,"N31 36"" 809'","W102 56"" 474'"
2004,CRUDE OIL,250.0,N 34 14.458,W 097 32.120
2004,CRUDE OIL,85.0,N31 42.683',W102 36.849'
2004,CRUDE OIL CONDENSATE,600.0,32 28.915',94 51.107'
2004,CRUDE OIL,21.0,"47° 41' 28""","-92° 24' 52"""
2004,PETROLEUM CRUDE OIL,1.0,37 0825,100 3410
2004,CRUDE OIL,40.0,34.2394333,-97.6436081
2004,CRUDE OIL,10.0,43.36.05,106.16.24
2004,CRUDE OIL,21.0,"46° 41' 02""","-92° 03' 14"""
2004,CRUDE OIL,21.0,"46° 41' 24""","-92° 03' 47"""
2004,CRUDE OIL,125.0,31.42.926,101.56.288
2004,CRUDE OIL,132.0,35 25.69 MIN N,98 56.97 MIN W
2004,CRUDE OIL,25.0,36 16.233 MIN. N,99 48.781 MIN. W
2004,CRUDE OIL,10.0,"47° 41' 28""","-92° 24' 52"""
2004,CRUDE OIL,15.0,42.275605,-83.404376
2003,CRUDE OIL,10.0,N33 48.479',W118 14.065'
2004,CRUDE OIL,700.0,"32 25' 19.5""N","100 56' 12.8""W"
2004,CRUDE OIL,1.0,32 58.351 MIN N,100 09.315 MIN W
2004,CRUDE OIL,700.0,32.48357,-94.83425
2004,CRUDE OIL,56.0,-94.6991,31.22420
2004,CRUDE OIL,5.0,43.17.36,107.37.28
2004,CRUDE OIL,15.0,31 15.06 MIN N,90 29.53 MIN W
2004,CRUDE OIL,10.0,"35° 56' 41""","-96° 45' 26"""
2004,CRUDE OIL,42.0,47° 19' 28,-93° 45' 46
2004,PETROLEUM CRUDE OIL,1.0,38.20.25N,98.18.42N
2004,CRUDE OIL,30.0,43.41.24,107.50.17
2004,CRUDE OIL,1450.0,32 58.351 MIN N,100 09.315 MIN W
2004,CRUDE OIL,3.0,40.70501,-84.12748
2004,CRUDE OIL,1.0,N29DEG 20.526MIN,W89DEG 39.717MIN
2004,FOSTERTON CRUDE OIL,35.0,48 14.018,105 7.743
2004,CRUDE OIL,20.0,N29 27 33,W96 05 55
2003,CRUDE OIL,15.0,35.24663,096.80739
2004,CRUDE OIL,150.0,31 38' 01.1,101 42'31.4
2004,CRUDE OIL,130.0,39.41093 N,-92.84623 W
2004,CRUDE OIL,1.0,34.202028,-97.265000
2004,CRUDE OIL,15.0,N 29 57.136,W096 51.637
2004,CRUDE OIL,10.0,N32.56.220,W97.17.457
2004,  CRUDE OIL,3.0,N38 30.2,W94 58.3
2004,CRUDE OIL,24.0,29.07.69,89.22.23
2004,CRUDE OIL,3148.0,29.12.26,89.2.4
2004,CRUDE OIL,10.0,N32 41 134,W101 10 440
2004,PETROLEUM CRUDE OIL,2.0,37.4238,101.0249
2004,CRUDE OIL,1.0,N31 25.283',W102 37.085'
2004,CRUDE OIL,100.0,"N29, 59.369'","W94, 00.313'"
2004,CRUDE OIL,25.0,N3DEG 31.35 MIN,W66 DEG 17.75 MIN
2004,CRUDE OIL,55.0,42.210336,-107.414057
2004,CRUDE OIL,5.0,N36 28.715,W108 8.289
2004,CRUDE OIL,1.0,"35° 56' 26""","-96° 44' 26"""
2004,CRUDE OIL,13.0,29 55.301,097 17.119
2004,CRUDE OIL,2.0,N29 08.64,W095 40.41
2003,CRUDE OIL/API GRAVITY 58,2.0,28 17 42,096 37 12
2004,CRUDE OIL,100.0,27 .73767N,97.81874 W
2004,PETROLEUM CRUDE OIL,17.0,38 14 52,98 02.23
2004,CRUDE OIL,5.0,N32.35.575,W95.12.318
2004,CRUDE OIL,1.0,35 04.367,120 31.462
2004,CRUDE OIL,80.0,"N 34 14' 6.7""","W97 30' 9.1"""
2004,CRUDE OIL,90.0,"35° 57' 08""","-96° 45' 01"""
2004,CRUDE OIL,3.0,N 31 50.547,W104 25.993
2004,SJVH CRUDE OIL,460.0,35.499 92,119.811 45
2004,SOUR CRUDE OIL,15.0,42 13.526,104 41.355
2004,CRUDE OIL,10.0,33.410,-93.135
2004,CRUDE OIL,2.0,29DEG22MIN45SEC,89DEG32MIN23.98SEC
2004,CRUDE OIL,75.0,28.32532 N,-97.21254 W
2004,CRUDE OIL,8.0,34 52.9,12 15.9
2004,CRUDE OIL,38.0,38.78935,-89.08525
2004,CRUDE OIL,21.0,N30 43.816',W93 30.843'
2004,PETROLEUM CRUDE OIL,10.0,40.2428,99 -1919
2004,PETROLEUM CRUDE OIL,10.0,37 0825,100 34 10
2004,CRUDE OIL,15.0,N32' 28.839,W92' 51.109
2004,CRUDE OIL,590.0,28.9530,-95.4295
2004,CRUDE OIL,1.0,"35° 57' 35""","-96° 45' 41"""
2004,CRUDE OIL,100.0,N31 45.94',W103 10.06'
2004,CRUDE OIL,40.0,45 39 1.87,108 45 16.70
2004,CRUDE OIL,500.0,33.48.410N,100.03.739
2005,VIRGIN CRUDE OIL,700.0,32 33.533,94 1.561
2005,CRUDE OIL-BCF 17,5232.0,29.71,-95.25
2005,CRUDE OIL,1.0,31 51.649',91 26.159'
2005,CRUDE OIL,4.0,35.94674,-96.76288
2005,CRUDE OIL,3.0,43 27 81,89 14 42
2005,CRUDE OIL,15.0,N42 13.506 ,W104 41.191
2005,CRUDE OIL,100.0,"43° 27' 81""","-89° 14' 26"""
2005,PETROLEUM CRUDE OIL,2.0,37.4238,101.0251
2005,CRUDE OIL,6909.0,-85.0216,38.6664
2005,CRUDE OIL,10.0,34.35761,119.05801
2005,CRUDE OIL,63.0,N32 1.468,W102 1.492
2005,CRUDE OIL,10.0,"41° 33' 25""","-87° 53' 7"""
2005,CRUDE OIL,50.0,N 32 08 25,W 102 21 31
2005,CRUDE OIL,1.0,31 55.541,91 29.429
2005,CRUDE OIL,5.0,29.99775 N,94.06588 W
2005,CRUDE OIL,3.0,42.275605,-83.404376
2005,CRUDE OIL,5.0,44.8156,-108.5
2005,CRUDE OIL,8.0,-96.74849,35.98628
2005,CRUDE OIL,10.0,N 28.49354,W -096.99470
2005,CRUDE OIL,10.0,N32 34.760,W94.900
2005,CRUDE OIL,4.0,N 34 53.595,W 99 02.283
2005,CRUDE OIL,10.0,34-31.937N,89-85.867W
2005,PETROLEUM CRUDE OIL,10.0,37.0255,101.4702
2005,VIRGIN CRUDE OIL,3.0,N32 33.989,W94 9.929
2005,CRUDE OIL,1.0,38.4919,-90.55517
2005,CRUDE OIL,15.0,31 02.065,89 26.884
2005,CRUDE OIL,28.0,N29 43M 40S,W90 35M 35S
2005,CRUDE OIL,40.0,N30 2M 57S,W94 4M 12S
2005,CRUDE OIL,21.0,"42° 54' 07""","-82° 30' 36"""
2005,CRUDE OIL,5.0,"42° 09' 53""","-88° 14' 19"""
2005,VIRGIN CRUDE OIL,2.0,N32 33.988,W94 9.915
2005,CRUDE OIL,2.0,N29  13  10,W095  40  50
2005,CRUDE OIL,8.0,39N 24.72',92W 50.75'
2005,CRUDE OIL,260.0,37.7766342,-97.3554382
2005,CRUDE OIL,1.0,"38° 49' 40""","-90° 05' 10"""
2005,CRUDE OIL,2.0,43.8599,-108.164420
2005,CRUDE OIL,10.0,N35 3.791MIN,W119 3.94MIN
2005,CRUDE OIL - HEAVY LOUISIANA SWEET,600.0,N29 19' 48,W89 58' 24
2005,CRUDE OIL,805.0,40.705,-84.1275
2005,CRUDE OIL,70.0,37.0829,-101.35139
2005,CRUDE OIL,1.0,"38 17' 31""","97 26' 16"""
2005,CRUDE OIL,10.0,"97 7' 36""","37 36' 57"""
2005,CRUDE OIL,5.0,"41° 30' 44""","-87° 27' 16"""
2005,CRUDE OIL - SJLB,3393.0,N34D39'26.6,W118D44'34.8
2005,CRUDE OIL,12.0,31 28.377' N,101 51.817' W
2005,CRUDE OIL,4.0,32 33.194,93 58.886
2005,CRUDE OIL,200.0,N35 53.197',W107.42.059
2005,CRUDE OIL,2.0,N28 57 33,W95 26 00
2005,CRUDE OIL,40.0,32 41.177,102 38.572
2005,CRUDE OIL,25.0,32 41.177,102 38.572
2005,CRUDE OIL,898.0,N33 50.272,W096 27.360
2005,CRUDE OIL,1.0,35.689300,-101.348700
2005,CRUDE OIL,15.0,"35° 55' 60""","-96° 45' 15"""
2005,CRUDE OIL,4.0,1 1251201E,4103838N
2005,CRUDE OIL,15.0,29.99434,94.07473
