IDATE,COMM,LOSS
1990,CRUDE OIL,5.0
1990,CRUDE OIL,5.0
1990,CRUDE OIL,20.0
1990,CRUDE OIL,2.0
1990,CRUDE OIL,1500.0
1990,CRUDE OIL,2.0
1990,CRUDE OIL,1.0
1990,CRUDE OIL,50.0
1990,CRUDE OIL,100.0
1990,CRUDE OIL,250.0
1990,CRUDE OIL,970.0
1990,CRUDE OIL,125.0
1990,CRUDE OIL,10.0
1990,CRUDE OIL,100.0
1990,CRUDE OIL,500.0
1990,CRUDE OIL,24.0
1990,CRUDE OIL,200.0
1990,CRUDE OIL,1.0
1990,CRUDE OIL,40.0
1990,CRUDE OIL,1.0
1990,CRUDE OIL,100.0
1990,CRUDE OIL,3.0
1990,CRUDE OIL,30.0
1990,CRUDE OIL,210.0
1990,CRUDE OIL,190.0
1990,CRUDE OIL,1470.0
1990,CRUDE OIL,75.0
1990,CRUDE OIL,10.0
1990,CRUDE OIL,2400.0
1990,CRUDE OIL,250.0
1990,CRUDE OIL,1.0
1990,CRUDE OIL,4.0
1990,CRUDE OIL,2.0
1990,CRUDE OIL,20.0
1990,CRUDE OIL,270.0
1990,CRUDE OIL,305.0
1990,CRUDE OIL,40.0
1990,CRUDE OIL,1345.0
1990,CRUDE OIL,1.0
1990,CRUDE OIL,100.0
1990,CRUDE OIL,175.0
1991,CRUDE OIL,25.0
1990,CRUDE OIL,1107.0
1990,CRUDE OIL,250.0
1990,CRUDE OIL,1.0
1990,CRUDE OIL,5.0
1990,CRUDE OIL,340.0
1990,CRUDE OIL,2140.0
1990,CRUDE OIL,1000.0
1990,CRUDE OIL,500.0
1990,CRUDE OIL,4.0
1991,CRUDE OIL,140.0
1990,CRUDE OIL,325.0
1991,CRUDE OIL,20.0
1991,CRUDE OIL,1777.0
1991,CRUDE OIL,690.0
1991,CRUDE OIL,547.0
1991,CRUDE OIL,300.0
1991,CRUDE OIL,60.0
1991,CRUDE OIL,500.0
1991,CRUDE OIL,325.0
1991,CRUDE OIL,3115.0
1991,CRUDE OIL,3800.0
1991,CRUDE OIL,360.0
1991,CRUDE OIL,40500.0
1991,CRUDE OIL,100.0
1991,CRUDE OIL,15.0
1991,CRUDE OIL,740.0
1991,CRUDE OIL,250.0
1991,CRUDE OIL,8150.0
1991,CRUDE OIL,3082.0
1991,CRUDE OIL,5359.0
1991,CRUDE OIL,1.0
1991,CRUDE OIL,339.0
1991,CRUDE OIL,1395.0
1991,CRUDE OIL,200.0
1991,CRUDE OIL,25.0
1991,CRUDE OIL,1.0
1991,CRUDE OIL,215.0
1991,CRUDE OIL,250.0
1991,CRUDE OIL,100.0
1991,CRUDE OIL,12.0
1991,CRUDE OIL,90.0
1991,CRUDE OIL,125.0
1991,CRUDE OIL,300.0
1991,CRUDE OIL,20.0
1991,CRUDE OIL,28200.0
1991,CRUDE OIL,1000.0
1991,CRUDE OIL,150.0
1991,CRUDE OIL,1.0
1991,CRUDE OIL,5290.0
1991,CRUDE OIL,634.0
1991,CRUDE OIL,800.0
1991,CRUDE OIL,1540.0
1991,CRUDE OIL,1200.0
1991,CRUDE OIL,3000.0
1991,CRUDE OIL,15.0
1991,CRUDE OIL,55.0
1991,CRUDE OIL,800.0
1991,CRUDE OIL,400.0
1991,CRUDE OIL,55.0
1991,CRUDE OIL,200.0
1991,CRUDE OIL,1300.0
1991,CRUDE OIL,323.0
1991,CRUDE OIL,80.0
1991,CRUDE OIL,300.0
1991,CRUDE OIL,3.0
1991,CRUDE OIL,4200.0
1991,CRUDE OIL,30.0
1991,CRUDE OIL,465.0
1991,CRUDE OIL,290.0
1991,CRUDE OIL,670.0
1991,CRUDE OIL,75.0
1991,CRUDE OIL,1650.0
1991,CRUDE OIL,650.0
1991,CRUDE OIL,200.0
1991,CRUDE OIL,20.0
1991,CRUDE OIL,103.0
1991,CRUDE OIL,10.0
1991,CRUDE OIL,6235.0
1991,CRUDE OIL,1.0
1991,CRUDE OIL,300.0
1991,CRUDE OIL,130.0
1991,CRUDE OIL,52.0
1991,CRUDE OIL,1740.0
1991,CRUDE OIL,100.0
1991,CRUDE OIL,85.0
1991,CRUDE OIL,5.0
1991,CRUDE OIL,500.0
1991,CRUDE OIL,100.0
1991,CRUDE OIL,204.0
1991,CRUDE OIL,250.0
1991,CRUDE OIL,700.0
1991,CRUDE OIL,6.0
1991,CRUDE OIL,200.0
1991,CRUDE OIL,400.0
1991,CRUDE OIL,1.0
1991,CRUDE OIL,3150.0
1992,CRUDE OIL,45.0
1991,CRUDE OIL,84.0
1992,CRUDE OIL,60.0
1991,CRUDE OIL,7.0
1992,CRUDE OIL,100.0
1992,CRUDE OIL,586.0
1992,CRUDE OIL,1.0
1992,CRUDE OIL,1384.0
1992,CRUDE OIL,5000.0
1992,CRUDE OIL,150.0
1992,CRUDE OIL,5375.0
1992,CRUDE OIL,1700.0
1992,CRUDE OIL,150.0
1992,CRUDE OIL,190.0
1992,CRUDE OIL,60.0
1992,CRUDE OIL,150.0
1992,CRUDE OIL,137.0
1992,CRUDE OIL,60.0
1992,CRUDE OIL,250.0
1992,CRUDE OIL,600.0
1992,CRUDE OIL,795.0
1992,CRUDE OIL,5.0
1992,CRUDE OIL,1000.0
1992,CRUDE OIL,3780.0
1992,CRUDE OIL,815.0
1992,CRUDE OIL,1250.0
1992,CRUDE OIL,5.0
1992,CRUDE OIL,1900.0
1992,CRUDE OIL,4370.0
1991,CRUDE OIL,1150.0
1992,CRUDE OIL,100.0
1992,CRUDE OIL,80.0
1992,CRUDE OIL,221.0
1992,CRUDE OIL,180.0
1992,CRUDE OIL,500.0
1992,CRUDE OIL,100.0
1992,CRUDE OIL,100.0
1992,CRUDE OIL,100.0
1992,CRUDE OIL,60.0
1992,CRUDE OIL,350.0
1992,CRUDE OIL,150.0
1992,CRUDE OIL,625.0
1992,CRUDE OIL,1.0
1992,CRUDE OIL,305.0
1992,CRUDE OIL,3020.0
1992,CRUDE OIL,7.0
1992,CRUDE OIL,30.0
1992,CRUDE OIL,450.0
1992,CRUDE OIL,600.0
1992,CRUDE OIL,100.0
1992,CRUDE OIL,2.0
1992,CRUDE OIL,370.0
1992,CRUDE OIL,150.0
1992,CRUDE OIL,250.0
1992,CRUDE OIL,920.0
1992,CRUDE OIL,60.0
1992,CRUDE OIL,2000.0
1992,CRUDE OIL,0.0
1992,CRUDE OIL,215.0
1992,CRUDE OIL,90.0
1992,CRUDE OIL,500.0
1992,CRUDE OIL,261.0
1992,CRUDE OIL,4.0
1992,CRUDE OIL,70.0
1992,CRUDE OIL,300.0
1992,CRUDE OIL,750.0
1992,CRUDE OIL,6000.0
1992,CRUDE OIL,3000.0
1992,CRUDE OIL,120.0
1992,CRUDE OIL,66.0
1992,CRUDE OIL,50.0
1992,CRUDE OIL,3200.0
1992,CRUDE OIL,247.0
1992,CRUDE OIL,482.0
1992,CRUDE OIL,4500.0
1992,CRUDE OIL,100.0
1992,CRUDE OIL,145.0
1992,CRUDE OIL,325.0
1992,CRUDE OIL,53.0
1993,CRUDE OIL,185.0
1993,CRUDE OIL,1200.0
1993,CRUDE OIL,200.0
1993,CRUDE OIL,1825.0
1993,CRUDE OIL,5.0
1993,CRUDE OIL,1.0
1993,CRUDE OIL,2.0
1993,CRUDE OIL,3100.0
1993,CRUDE OIL,100.0
1993,CRUDE OIL,5.0
1993,CRUDE OIL,5.0
1993,CRUDE OIL,330.0
1993,CRUDE OIL,50.0
1993,CRUDE OIL,20.0
1993,CRUDE OIL,1000.0
1993,CRUDE OIL,6600.0
1993,CRUDE OIL,61.0
1993,CRUDE OIL,5.0
1993,CRUDE OIL,1000.0
1993,CRUDE OIL,5.0
1993,CRUDE OIL,5.0
1993,CRUDE OIL,2500.0
1991,CRUDE OIL,70.0
1993,CRUDE OIL,6200.0
1993,CRUDE OIL,1.0
1993,CRUDE OIL,110.0
1993,CRUDE OIL,700.0
1993,CRUDE OIL,50.0
1993,CRUDE OIL,2.0
1993,CRUDE OIL,280.0
1993,CRUDE OIL,1.0
1993,CRUDE OIL,130.0
1993,CRUDE OIL,5016.0
1993,CRUDE OIL,1.0
1993,CRUDE OIL,60.0
1993,CRUDE OIL,22.0
1993,CRUDE OIL,2.0
1993,CRUDE OIL,59.0
1993,CRUDE OIL,4.0
1993,CRUDE OIL,620.0
1993,CRUDE OIL,385.0
1993,CRUDE OIL,25.0
1993,CRUDE OIL,10.0
1993,CRUDE OIL,470.0
1993,CRUDE OIL,35.0
1993,CRUDE OIL,0.0
1993,CRUDE OIL,50.0
1993,CRUDE OIL,50.0
1993,CRUDE OIL,150.0
1993,CRUDE OIL,209.0
1993,CRUDE OIL,350.0
1993,CRUDE OIL,200.0
1993,CRUDE OIL,4.0
1993,CRUDE OIL,70.0
1993,CRUDE OIL,2000.0
1993,CRUDE OIL,30.0
1993,CRUDE OIL,60.0
1993,CRUDE OIL,20.0
1993,CRUDE OIL,75.0
1993,CRUDE OIL,350.0
1993,CRUDE OIL,1900.0
1993,CRUDE OIL,1.0
1993,CRUDE OIL,10.0
1993,CRUDE OIL,700.0
1993,CRUDE OIL,130.0
1993,CRUDE OIL,1.0
1993,CRUDE OIL,1.0
1993,CRUDE OIL,100.0
1993,CRUDE OIL,260.0
1993,CRUDE OIL,0.0
1993,CRUDE OIL,525.0
1993,CRUDE OIL,215.0
1993,CRUDE OIL,81.0
1993,CRUDE OIL,318.0
1993,CRUDE OIL,630.0
1993,CRUDE OIL,90.0
1993,CRUDE OIL,310.0
1993,CRUDE OIL,100.0
1993,CRUDE OIL,295.0
1993,CRUDE OIL,147.0
1993,CRUDE OIL,116.0
1993,CRUDE OIL,150.0
1993,CRUDE OIL,380.0
1994,CRUDE OIL,1.0
1994,CRUDE OIL,1537.0
1994,CRUDE OIL,3.0
